Geneid_i5k (limma),Treatment_logFC_i5k_Acinetobacter (limma),Treatment_pvalue_i5k_Acinetobacter (limma),Interaction_logFC_i5k_Acinetobacter (limma),Interaction_pvalue_i5k_Acinetobacter (limma),Geneid_Melbourne (limma),Treatment_logFC_Melbourne_Acinetobacter (limma),Treatment_pvalue_Melbourne_Acinetobacter (limma),Interaction_logFC_Melbourne_Acinetobacter (limma),Interaction_pvalue_Melbourne_Acinetobacter (limma)
ref|XM_023435144.1|,-0.199152349,0.937993762,1.171030238,0.534925283,KNC20623,-1.57E-01,9.52E-01,9.79E-04,0.9997548
ref|XM_023435145.1|,-0.040933903,0.937993762,-0.314620105,0.534925283,KNC20624,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435146.1|,0.111343844,0.879959337,-0.253379828,0.534925283,KNC20625,-1.53E-01,9.52E-01,-3.41E-01,0.7810275
ref|XM_023435147.1|,0.059893039,0.937993762,0.372920785,0.534925283,KNC20626,1.08E-01,9.52E-01,-2.07E-02,0.9936383
ref|XM_023435148.1|,-0.044730158,0.937993762,-0.169513181,0.534925283,KNC20627,5.07E-02,9.52E-01,2.83E-01,0.579495
ref|XM_023435149.1|,-0.044547879,0.937993762,0.222976889,0.597132281,KNC20628,2.24E-01,7.26E-01,-2.15E-01,0.7064548
ref|XM_023435150.1|,-0.246169566,0.713541446,0.119582008,0.818719788,KNC20629,-8.43E-02,7.69E-01,-1.24E-01,0.5990172
ref|XM_023435151.1|,0.255446656,0.897978049,0.280187119,0.781376644,KNC20630,3.57E-02,9.52E-01,-1.39E-01,0.579495
ref|XM_023435152.1|,0.027354433,0.937993762,-0.049566721,0.917693403,KNC20631,-1.28E-01,9.52E-01,-2.36E-01,0.8918179
ref|XM_023435153.1|,-0.015520888,0.973281975,0.110983255,0.905145307,KNC20632,2.15E-02,9.64E-01,-1.56E-01,0.8687359
ref|XM_023435154.1|,-0.161867195,0.937993762,0.760987782,0.76365968,KNC20633,-8.28E-02,8.44E-01,5.02E-02,0.9228527
ref|XM_023435155.1|,0.122047306,0.752606928,-0.199413095,0.534925283,KNC20634,1.49E-02,9.55E-01,1.17E-02,0.988123
ref|XM_023435156.1|,1.034869236,0.823113314,-0.352184006,0.931198063,KNC20635,-1.81E-01,7.17E-01,4.25E-02,0.9489305
ref|XM_023435157.1|,-0.08378333,0.937993762,0.03283056,0.969171266,KNC20636,-2.87E-01,7.25E-01,3.05E-01,0.6472378
ref|XM_023435158.1|,-0.152198397,0.937993762,0.584160251,0.787803615,KNC20637,8.09E-02,9.52E-01,-6.82E-02,0.9400994
ref|XM_023435159.1|,1.335132408,0.790911561,2.091539299,0.534925283,KNC20638,2.28E-01,9.32E-01,2.24E-01,0.8946108
ref|XM_023435160.1|,0.890904211,0.830747036,0.004356455,0.999162044,KNC20639,8.15E-02,9.52E-01,5.29E-02,0.9728874
ref|XM_023435161.1|,0.169265954,0.937993762,-1.326601768,0.654975964,KNC20640,4.78E-01,7.27E-01,1.02E+00,0.579495
ref|XM_023435162.1|,0.468311015,0.937993762,0.343845608,0.926170804,KNC20641,-1.17E-01,9.52E-01,5.88E-01,0.5914786
ref|XM_023435163.1|,0.163358911,0.931570223,-0.302707015,0.59690927,KNC20642,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435164.1|,0.06839695,0.937993762,-0.302432495,0.541567855,KNC20643,-2.17E-01,6.62E-01,2.23E-01,0.579495
ref|XM_023435165.1|,-0.043675497,0.937993762,-0.06396482,0.922751582,KNC20644,-4.46E-02,9.52E-01,-3.21E-01,0.6396914
ref|XM_023435166.1|,0.017817345,0.937993762,-0.050834809,0.855805311,KNC20645,1.06E-01,9.52E-01,-8.92E-01,0.579495
ref|XM_023435167.1|,0.195048999,0.748944719,0.170104308,0.655643342,KNC20646,-1.64E-01,7.84E-01,7.48E-02,0.9400994
ref|XM_023435168.1|,0.037569089,0.937993762,0.197039225,0.784025688,KNC20647,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435169.1|,0.082582274,0.887263599,-0.086823289,0.7799757,KNC20648,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435170.1|,-0.083376128,0.937993762,-0.385921555,0.699724441,KNC20649,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435171.1|,-0.093354103,0.937993762,0.170210107,0.7432596,KNC20650,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435172.1|,0.150063734,0.86896542,-0.306511699,0.534925283,KNC20651,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435173.1|,-0.055880696,0.937993762,0.158282125,0.653812982,KNC20652,3.74E-01,7.17E-01,4.56E-02,0.9729734
ref|XM_023435174.1|,0.045929726,0.937993762,-0.241388865,0.534925283,KNC20653,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435175.1|,0.157589805,0.937993762,0.425138099,0.534925283,KNC20654,4.52E-01,4.17E-01,-4.13E-01,0.579495
ref|XM_023435176.1|,-0.052739768,0.961041336,1.410148566,0.534925283,KNC20655,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435177.1|,-0.1645465,0.752606928,-0.054966173,0.918564803,KNC20656,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435178.1|,0.578785448,0.860735986,-0.610096596,0.75748261,KNC20657,1.86E-01,8.83E-01,-1.92E-01,0.8533295
ref|XM_023435179.1|,0.122110896,0.964309513,-0.520937977,0.928844464,KNC20658,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435180.1|,-0.781193414,0.937993762,-0.51648115,0.915677119,KNC20659,-2.48E-01,9.52E-01,1.10E+00,0.579495
ref|XM_023435181.1|,0.008575556,0.976459947,0.112505518,0.833677162,KNC20660,1.86E-01,8.93E-01,-2.90E-01,0.7466717
ref|XM_023435182.1|,0.604186928,0.937993762,-0.859925033,0.828509578,KNC20661,-5.10E-02,9.52E-01,-3.30E-01,0.579495
ref|XM_023435183.1|,0.706451612,0.900444745,-0.426711066,0.907637505,KNC20662,1.12E-01,9.52E-01,2.68E-01,0.7440786
ref|XM_023435184.1|,-0.021376018,0.964605574,-0.590016408,0.534925283,KNC20663,-3.03E-02,9.52E-01,-5.49E-02,0.9402529
ref|XM_023435185.1|,0.963409412,0.818449854,-0.197411623,0.956985582,KNC20664,5.65E-03,9.77E-01,1.81E-02,0.9725174
ref|XM_023435186.1|,-0.454402732,0.857598707,-0.059355062,0.97793494,KNC20665,-4.03E-01,6.26E-01,-1.20E-01,0.9224111
ref|XM_023435187.1|,0.00347429,0.988101342,-0.075508628,0.882703709,KNC20666,-1.98E-01,6.45E-01,-4.51E-02,0.9443571
ref|XM_023435188.1|,0.041640394,0.937993762,0.329644451,0.56622849,KNC20667,-2.47E-01,8.71E-01,-3.26E-01,0.7829103
ref|XM_023435189.1|,0.164189298,0.752606928,0.011650508,0.984379888,KNC20668,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435190.1|,0.018392001,0.961914506,0.12419343,0.861296137,KNC20669,-1.35E-01,9.38E-01,5.51E-01,0.579495
ref|XM_023435191.1|,0.060653904,0.937993762,-0.551322221,0.534925283,KNC20670,-7.99E-03,9.82E-01,2.49E-01,0.6943313
ref|XM_023435192.1|,0.32680018,0.937993762,-0.135043017,0.952362178,KNC20671,-4.22E-01,6.23E-01,-1.93E-01,0.8379556
ref|XM_023435193.1|,0.015620798,0.937993762,-0.265522767,0.534925283,KNC20672,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435194.1|,-0.050665889,0.937993762,0.134798168,0.665551818,KNC20673,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435195.1|,-0.21975964,0.182400988,-0.078108722,0.791050018,KNC20674,-2.19E-01,6.45E-01,9.73E-02,0.8604016
ref|XM_023435196.1|,-0.058858944,0.926876781,-0.095168873,0.660502397,KNC20675,-9.65E-02,7.69E-01,7.83E-03,0.9891884
ref|XM_023435197.1|,-0.005136296,0.983288037,-0.438683045,0.534925283,KNC20676,6.35E-02,8.90E-01,-1.35E-01,0.5816278
ref|XM_023435198.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20677,-6.99E-02,7.85E-01,-2.91E-04,0.9993823
ref|XM_023435199.1|,0.219561197,0.937993762,-0.213732345,0.909512906,KNC20678,-7.96E-02,8.35E-01,1.58E-02,0.9729734
ref|XM_023435200.1|,0.201606923,0.937993762,-1.272492063,0.534925283,KNC20679,-4.78E-02,9.52E-01,1.93E-01,0.7809038
ref|XM_023435201.1|,0.609983635,0.811932969,-0.217314459,0.926170804,KNC20680,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435202.1|,0.054004438,0.963187921,-0.048117725,0.986727783,KNC20681,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435203.1|,0.39049834,0.894831513,-0.196856947,0.921887728,KNC20682,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435204.1|,0.183294764,0.868329456,-0.086797487,0.921887728,KNC20683,8.28E-02,9.52E-01,-3.36E-01,0.579495
ref|XM_023435205.1|,0.044147664,0.966434944,0.203506461,0.928844464,KNC20684,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435206.1|,-0.017143468,0.960484876,-0.194973572,0.700453828,KNC20685,2.84E-01,5.21E-01,-2.31E-02,0.9735937
ref|XM_023435207.1|,0.313251831,0.823879602,-0.523135773,0.534925283,KNC20686,1.07E-01,9.52E-01,5.93E-01,0.579495
ref|XM_023435208.1|,-0.114738238,0.937993762,-0.193211108,0.817850469,KNC20687,1.65E-01,8.75E-01,3.00E-01,0.6490116
ref|XM_023435209.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20688,-1.33E-01,7.49E-01,4.93E-02,0.9402529
ref|XM_023435210.1|,0.421060074,0.752606928,-0.405536344,0.633378645,KNC20689,-3.54E-02,9.52E-01,1.40E-01,0.6709851
ref|XM_023435211.1|,0.242775404,0.937993762,-1.255500585,0.534925283,KNC20690,-1.50E-01,9.52E-01,-1.77E-01,0.8789301
ref|XM_023435212.1|,0.047931699,0.937993762,0.506315109,0.534925283,KNC20691,-1.45E-01,9.52E-01,7.99E-01,0.579495
ref|XM_023435213.1|,-0.60074624,0.937993762,-2.419014969,0.534925283,KNC20692,3.31E-01,9.02E-01,-1.03E+00,0.579495
ref|XM_023435214.1|,0.065661338,0.937993762,-0.204104944,0.76753602,KNC20693,1.75E-02,9.59E-01,-2.03E-01,0.6929892
ref|XM_023435215.1|,0.313443194,0.810143299,0.513313846,0.534925283,KNC20694,-4.07E-01,8.71E-01,6.53E-01,0.708898
ref|XM_023435216.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20695,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435217.1|,-0.032895657,0.937993762,0.182178131,0.558985044,KNC20696,4.04E-02,9.52E-01,2.88E-01,0.579495
ref|XM_023435218.1|,-0.278706339,0.937993762,0.943241555,0.545903498,KNC20697,5.26E-02,9.52E-01,-2.39E-01,0.579495
ref|XM_023435219.1|,-0.049544237,0.937993762,-0.061201394,0.93036563,KNC20698,-6.96E-01,7.08E-01,-6.56E-01,0.6425287
ref|XM_023435220.1|,-0.01256508,0.984416029,-0.654002979,0.534925283,KNC20699,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435221.1|,0.02400461,0.937993762,0.127316701,0.798528942,KNC20700,1.77E-01,8.44E-01,-4.12E-03,0.9977728
ref|XM_023435222.1|,-0.031583912,0.975164846,0.241565038,0.91737289,KNC20701,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435223.1|,0.164491842,0.937993762,0.145042176,0.899734374,KNC20702,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435224.1|,-0.11562343,0.937993762,0.070607647,0.943477999,KNC20703,7.06E-02,9.52E-01,-2.99E-01,0.579495
ref|XM_023435225.1|,-0.239653032,0.937993762,-0.400316015,0.804059439,KNC20704,1.32E-01,9.10E-01,-1.68E-01,0.8234129
ref|XM_023435226.1|,-0.01736361,0.964605574,0.305360972,0.534925283,KNC20705,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435227.1|,-0.048551247,0.937993762,-0.598083409,0.534925283,KNC20706,-2.32E-01,9.52E-01,1.07E+00,0.5881622
ref|XM_023435228.1|,-0.19951753,0.752606928,0.244676437,0.534925283,KNC20707,-3.39E-01,9.33E-01,-3.25E-01,0.9002964
ref|XM_023435229.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20708,6.60E-01,7.49E-01,-1.00E+00,0.579495
ref|XM_023435230.1|,-0.139758592,0.794690304,-0.010014684,0.985995392,KNC20709,2.68E-01,8.56E-01,1.16E+00,0.5294835
ref|XM_023435231.1|,-1.40781131,0.70098753,-0.352963685,0.919456374,KNC20710,4.25E-01,7.95E-01,-6.46E-01,0.6214517
ref|XM_023435232.1|,0.078833506,0.892922507,0.184852267,0.534925283,KNC20711,-1.07E-01,7.17E-01,-5.01E-02,0.8896815
ref|XM_023435233.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20712,9.24E-02,7.76E-01,-7.37E-02,0.8486198
ref|XM_023435234.1|,-0.001108918,0.998355846,0.419907418,0.660703858,KNC20713,3.70E-01,7.16E-01,1.13E-01,0.9400994
ref|XM_023435235.1|,0.201316225,0.937993762,-0.224949128,0.913772595,KNC20714,1.48E-01,9.08E-01,-1.43E-01,0.8793216
ref|XM_023435236.1|,0.228636114,0.937993762,-0.320973685,0.797164696,KNC20715,-4.08E-02,9.52E-01,-1.58E-01,0.7225286
ref|XM_023435237.1|,0.065470074,0.937993762,-0.514908198,0.534925283,KNC20716,-2.48E-01,7.49E-01,6.02E-02,0.9548151
ref|XM_023435238.1|,0.05872904,0.968790733,-1.534841757,0.534925283,KNC20717,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435239.1|,0.23840977,0.937993762,-0.558800087,0.534925283,KNC20718,-5.03E-02,9.58E-01,-2.11E-01,0.935994
ref|XM_023435240.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20719,-3.16E-02,9.52E-01,-6.03E-02,0.9610427
ref|XM_023435241.1|,-0.155344236,0.730032082,0.090178176,0.789810821,KNC20720,5.50E-01,2.70E-01,-3.99E-01,0.579495
ref|XM_023435242.1|,-0.02649835,0.937993762,0.128638253,0.539878464,KNC20721,6.83E-02,9.52E-01,-1.48E-02,0.9821234
ref|XM_023435243.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20722,-2.13E-01,9.12E-01,-4.93E-04,0.9997548
ref|XM_023435244.1|,-0.209251525,0.937993762,0.816762362,0.582218415,KNC20723,-4.92E-02,9.52E-01,-3.68E-02,0.9619693
ref|XM_023435245.1|,0.020978676,0.95804546,0.016926348,0.986576349,KNC20724,1.68E-01,9.52E-01,-7.57E-01,0.579495
ref|XM_023435246.1|,-0.000224077,0.999773704,-0.038576,0.978720738,KNC20725,3.36E-02,9.73E-01,3.17E-01,0.891358
ref|XM_023435247.1|,0.101389834,0.937993762,0.110764723,0.852356676,KNC20726,7.63E-02,9.52E-01,-3.99E-01,0.579495
ref|XM_023435248.1|,0.010248393,0.988525247,-0.228814693,0.884461864,KNC20727,-1.79E-01,7.59E-01,-1.40E-03,0.9986884
ref|XM_023435249.1|,0.040933556,0.937993762,-0.277641487,0.534925283,KNC20728,2.59E-01,8.65E-01,-7.80E-01,0.579495
ref|XM_023435250.1|,-0.023708331,0.937993762,-0.174046197,0.534925283,KNC20729,-8.83E-02,9.52E-01,-2.63E-01,0.7751344
ref|XM_023435251.1|,-0.01326374,0.977671316,0.507227893,0.534925283,KNC20730,-1.08E-01,8.76E-01,-1.46E-01,0.783515
ref|XM_023435252.1|,0.029844178,0.978615516,-0.148730388,0.950301873,KNC20731,5.19E-02,9.52E-01,4.17E-02,0.9594242
ref|XM_023435253.1|,-0.053420205,0.937993762,-0.114989322,0.651652273,KNC20732,5.63E-02,9.52E-01,-1.30E-02,0.9862437
ref|XM_023435254.1|,-0.097517731,0.937993762,0.398225432,0.70023435,KNC20733,5.29E-01,7.49E-01,-4.77E-02,0.9848724
ref|XM_023435255.1|,0.699566587,0.713541446,-1.031568958,0.534925283,KNC20734,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435256.1|,-0.181101848,0.887724198,-0.801834824,0.534925283,KNC20735,-6.28E-02,9.33E-01,2.57E-02,0.9594242
ref|XM_023435257.1|,0.06495797,0.937993762,-0.885827904,0.534925283,KNC20736,-5.80E-02,9.52E-01,1.64E-01,0.6875583
ref|XM_023435258.1|,-0.052952567,0.937993762,-0.995496196,0.534925283,KNC20737,2.24E-01,7.47E-01,-1.20E-01,0.8896815
ref|XM_023435259.1|,-0.356183865,0.931570223,0.173993436,0.93036563,KNC20738,1.26E-01,9.52E-01,7.01E-01,0.579495
ref|XM_023435260.1|,-0.150800558,0.937993762,-0.589266219,0.534925283,KNC20739,8.45E-02,9.52E-01,-6.12E-02,0.9445622
ref|XM_023435261.1|,0.54334266,0.937993762,-0.819053284,0.777821989,KNC20740,6.84E-02,9.52E-01,-5.97E-03,0.9943186
ref|XM_023435262.1|,-0.104706411,0.937993762,-0.048984002,0.974707772,KNC20741,4.02E-02,9.66E-01,-4.64E-01,0.7693219
ref|XM_023435263.1|,-0.067978297,0.937993762,-0.099475522,0.919371029,KNC20742,1.73E-02,9.58E-01,-7.90E-02,0.9230239
ref|XM_023435264.1|,-0.170425168,0.713541446,0.085414548,0.810047697,KNC20743,-1.78E-02,9.72E-01,1.08E-01,0.9280734
ref|XM_023435265.1|,-0.084748224,0.937993762,0.246672743,0.611334271,KNC20744,2.45E-01,7.28E-01,-1.39E-01,0.8706437
ref|XM_023435266.1|,-0.049004605,0.937993762,-0.330596635,0.534925283,KNC20745,1.54E-02,9.52E-01,-1.98E-01,0.579495
