Geneid_i5k (limma),Treatment_logFC_i5k_Acinetobacter (limma),Treatment_pvalue_i5k_Acinetobacter (limma),Interaction_logFC_i5k_Acinetobacter (limma),Interaction_pvalue_i5k_Acinetobacter (limma),Geneid_Melbourne (limma),Treatment_logFC_Melbourne_Acinetobacter (limma),Treatment_pvalue_Melbourne_Acinetobacter (limma),Interaction_logFC_Melbourne_Acinetobacter (limma),Interaction_pvalue_Melbourne_Acinetobacter (limma)
ref|XM_023435079.1|,0.566838096,0.937993762,0.229359988,0.963378329,KNC20558,-1.57E-01,7.72E-01,1.65E-01,0.7731941
ref|XM_023435080.1|,-0.389405717,0.937993762,-0.733581881,0.677880795,KNC20559,-1.96E-01,7.17E-01,2.63E-01,0.579495
ref|XM_023435081.1|,0.200875025,0.937993762,0.084780902,0.94228541,KNC20560,-6.71E-02,8.82E-01,1.34E-01,0.6058822
ref|XM_023435082.1|,-0.562305882,0.937993762,1.731784572,0.609356251,KNC20561,2.91E-02,9.52E-01,4.07E-02,0.9400994
ref|XM_023435083.1|,0.138365155,0.937993762,0.797743477,0.534925283,KNC20562,1.32E-01,9.52E-01,-5.98E-01,0.579495
ref|XM_023435084.1|,-0.250003362,0.937993762,0.34820157,0.834230556,KNC20563,2.86E-01,9.23E-01,-2.63E-01,0.8950532
ref|XM_023435085.1|,0.441456596,0.937993762,-0.11912016,0.975672597,KNC20564,4.03E-02,9.52E-01,2.89E-02,0.9634943
ref|XM_023435086.1|,0.752550318,0.405574719,-1.13330321,0.534925283,KNC20565,4.02E-02,9.58E-01,-6.23E-02,0.9734062
ref|XM_023435087.1|,0.265615571,0.849204066,-0.114638936,0.921887728,KNC20566,-4.20E-02,9.52E-01,-1.20E-01,0.6367721
ref|XM_023435088.1|,0.059266039,0.937993762,-0.433287438,0.534925283,KNC20567,2.51E-02,9.52E-01,-1.38E-01,0.579495
ref|XM_023435089.1|,0.14582825,0.937993762,-0.090756976,0.9572742,KNC20568,2.61E-02,9.52E-01,-7.55E-03,0.9922655
ref|XM_023435090.1|,-0.525796376,0.713541446,0.244592191,0.822713926,KNC20569,1.05E-01,8.43E-01,-1.35E-01,0.7657145
ref|XM_023435091.1|,0.151648109,0.937993762,-0.135663808,0.92588645,KNC20570,1.04E-01,7.17E-01,-9.76E-02,0.6808155
ref|XM_023435092.1|,-0.004875419,0.993919048,-0.391181671,0.748033779,KNC20571,-2.57E-02,9.52E-01,-1.18E-02,0.9826413
ref|XM_023435093.1|,0.242454804,0.787610628,-0.086198271,0.918585953,KNC20572,2.48E-03,9.95E-01,2.56E-01,0.7209753
ref|XM_023435094.1|,0.094203107,0.937993762,0.11314754,0.943477999,KNC20573,-1.21E-01,9.31E-01,-1.95E-01,0.7864216
ref|XM_023435095.1|,0.018695559,0.937993762,0.050603617,0.866766065,KNC20574,1.29E-01,9.52E-01,-3.45E-01,0.6024106
ref|XM_023435096.1|,0.230446328,0.937993762,-1.436709067,0.534925283,KNC20575,-2.43E-01,9.52E-01,-9.39E-01,0.579495
ref|XM_023435097.1|,-0.085989548,0.937993762,0.031449995,0.954893161,KNC20576,-1.76E-01,9.52E-01,4.69E-01,0.6949762
ref|XM_023435098.1|,-0.1538096,0.937993762,-0.847411296,0.789803069,KNC20577,-5.19E-02,9.52E-01,-3.33E-01,0.579495
ref|XM_023435099.1|,0.041473598,0.974053756,-0.668516844,0.715247879,KNC20578,4.61E-01,7.68E-01,-9.03E-01,0.579495
ref|XM_023435100.1|,0.083273824,0.937993762,-0.315429837,0.534925283,KNC20579,-3.30E-02,9.52E-01,-8.79E-02,0.9153086
ref|XM_023435101.1|,0.114301534,0.937993762,0.049363797,0.949506424,KNC20580,-4.96E-02,9.52E-01,4.68E-02,0.9355391
ref|XM_023435102.1|,-0.065407873,0.937993762,-0.911506337,0.534925283,KNC20581,-3.62E-01,9.12E-01,-4.50E-01,0.8302466
ref|XM_023435103.1|,0.088762707,0.937993762,0.013439063,0.99326708,KNC20582,-8.43E-02,9.52E-01,-5.40E-02,0.9445622
ref|XM_023435104.1|,1.199605637,0.71587024,-0.124681865,0.972211336,KNC20583,1.08E-01,8.20E-01,-1.25E-01,0.7813967
ref|XM_023435105.1|,-0.161887246,0.875154771,-0.323333404,0.534925283,KNC20584,-4.03E-01,8.61E-01,4.36E-01,0.8311529
ref|XM_023435106.1|,0.681393197,0.695895547,0.306320647,0.813733929,KNC20585,-6.95E-02,9.52E-01,3.41E-01,0.579495
ref|XM_023435107.1|,0.039615094,0.937993762,0.349919568,0.534925283,KNC20586,8.45E-02,7.96E-01,-2.18E-02,0.9604957
ref|XM_023435108.1|,-0.031784646,0.937993762,0.013574633,0.971534585,KNC20587,3.07E-01,7.31E-01,-3.42E-01,0.652557
ref|XM_023435109.1|,0.102970546,0.937993762,-0.150423205,0.918585953,KNC20588,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435110.1|,0.608178909,0.752606928,0.573961433,0.626473129,KNC20589,8.35E-02,9.52E-01,-3.24E-01,0.7384207
ref|XM_023435111.1|,0.10257546,0.937993762,-0.339449184,0.534925283,KNC20590,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435112.1|,0.151659977,0.919558026,-0.195981444,0.741002159,KNC20591,8.26E-02,9.52E-01,-3.34E-01,0.6100691
ref|XM_023435113.1|,0.016090556,0.975980695,0.458614474,0.534925283,KNC20592,-3.29E-02,9.54E-01,-1.69E-01,0.8980171
ref|XM_023435114.1|,0.160307783,0.937993762,0.087912724,0.963591519,KNC20593,-1.15E-01,9.52E-01,9.37E-02,0.9507564
ref|XM_023435115.1|,-0.110823685,0.937993762,-0.204725331,0.909935152,KNC20594,1.29E-01,9.52E-01,2.52E-02,0.9850129
ref|XM_023435116.1|,-0.390679201,0.871467381,-0.28913958,0.858051641,KNC20595,-5.57E-01,7.69E-01,-4.88E-01,0.8196327
ref|XM_023435117.1|,0.217753227,0.824032616,0.202025199,0.760358691,KNC20596,6.54E-02,9.52E-01,1.07E-01,0.8239859
ref|XM_023435118.1|,0.071000963,0.937993762,-0.26117802,0.900435471,KNC20597,1.01E-01,9.52E-01,-4.58E-01,0.6222653
ref|XM_023435119.1|,-0.348946371,0.785421306,0.006641475,0.99772713,KNC20598,-6.52E-03,9.77E-01,-3.94E-02,0.9489305
ref|XM_023435120.1|,0.017587917,0.963706354,0.073778281,0.928343957,KNC20599,-2.93E-01,8.11E-01,2.11E-01,0.8889205
ref|XM_023435121.1|,-0.592024743,0.675902683,0.372252613,0.689568822,KNC20600,-1.25E-01,6.26E-01,6.95E-02,0.793291
ref|XM_023435122.1|,-0.13226218,0.860213909,0.290554314,0.534925283,KNC20601,-5.69E-02,9.52E-01,5.14E-01,0.5805796
ref|XM_023435123.1|,0.027443116,0.960633505,0.057917062,0.95981465,KNC20602,-9.26E-03,9.88E-01,1.17E-01,0.9445622
ref|XM_023435124.1|,0.149239609,0.937993762,-0.420965517,0.534925283,KNC20603,9.51E-02,9.52E-01,1.36E-01,0.8564043
ref|XM_023435125.1|,0.126713626,0.937993762,-0.088604379,0.913615623,KNC20604,1.54E-02,9.52E-01,-1.98E-01,0.579495
ref|XM_023435126.1|,0.008604056,0.964605574,-0.171573227,0.534925283,KNC20605,-4.42E-01,8.49E-01,8.71E-02,0.9740214
ref|XM_023435127.1|,0.067177384,0.937993762,-0.076295176,0.935297985,KNC20606,-6.91E-02,9.52E-01,-4.75E-01,0.579495
ref|XM_023435128.1|,-0.13724351,0.806240052,0.036109157,0.942705191,KNC20607,1.64E-02,9.68E-01,-1.98E-01,0.7737234
ref|XM_023435129.1|,0.236162508,0.937993762,-0.010541555,0.997565741,KNC20608,-1.44E-01,9.02E-01,-7.64E-01,0.4956095
ref|XM_023435130.1|,-0.072916961,0.937993762,0.178970757,0.534925283,KNC20609,-2.89E-02,9.58E-01,2.12E-01,0.8420701
ref|XM_023435131.1|,0.011961547,0.974436734,-0.347731971,0.534925283,KNC20610,3.04E-03,9.90E-01,4.11E-02,0.9504618
ref|XM_023435132.1|,0.008831161,0.979997576,0.136536591,0.836688364,KNC20611,-1.50E-01,9.52E-01,-6.79E-02,0.978087
ref|XM_023435133.1|,-0.113299081,0.937993762,-0.195383123,0.726847803,KNC20612,-4.25E-01,6.23E-01,1.25E-01,0.9079538
ref|XM_023435134.1|,-0.074263902,0.937993762,-0.319486373,0.534925283,KNC20613,-1.03E-02,9.83E-01,6.73E-01,0.579495
ref|XM_023435135.1|,0.071723444,0.937993762,0.010409338,0.995556678,KNC20614,-1.82E-01,7.68E-01,1.39E-01,0.8480921
ref|XM_023435136.1|,-0.061438237,0.937993762,-0.130719351,0.929569713,KNC20615,-9.17E-03,9.73E-01,-9.05E-02,0.8896815
ref|XM_023435137.1|,0.055694195,0.937993762,-0.318447636,0.534925283,KNC20616,-1.29E-01,9.52E-01,-2.09E-01,0.8404655
ref|XM_023435138.1|,-0.183132911,0.93709147,0.09814089,0.926570883,KNC20617,-4.01E-01,8.92E-01,-1.34E-01,0.9604746
ref|XM_023435139.1|,0.356989174,0.937993762,-2.857892153,0.534925283,KNC20618,6.85E-02,9.52E-01,2.25E-01,0.8283359
ref|XM_023435140.1|,0.013635664,0.960484876,-0.091287501,0.85245603,KNC20619,2.28E-02,9.62E-01,2.28E-02,0.9853755
ref|XM_023435141.1|,0.017789583,0.937993762,-0.196576073,0.534925283,KNC20620,-9.35E-02,9.52E-01,-7.44E-01,0.579495
ref|XM_023435142.1|,0.000584863,0.998374293,-0.043781306,0.953826774,KNC20621,1.41E-02,9.52E-01,6.61E-02,0.9066312
ref|XM_023435143.1|,0.065342808,0.937993762,-0.218931221,0.796868807,KNC20622,-5.27E-05,1.00E+00,-1.16E-01,0.8105554
