Geneid_i5k (limma),A1_logFC_i5k (limma),A1_pvalue_i5k (limma),A4_logFC_i5k (limma),A4_pvalue_i5k (limma),Geneid_Melbourne (limma),A1_logFC_Melbourne (limma),A1_pvalue_Melbourne (limma),A4_logFC_Melbourne (limma),A4_pvalue_Melbourne (limma)
ref|XM_023435108.1|,-0.036901983,0.880871558,-0.028780302,0.796765869,KNC20587,4.87E-01,0.68924462,1.39E-01,0.579676456
ref|XM_023435109.1|,0.173850924,0.775227513,0.024778225,0.972907798,KNC20588,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435110.1|,0.331935942,0.693833338,0.880358946,0.466527623,KNC20589,2.66E-01,0.68924462,-6.15E-02,0.893030032
ref|XM_023435111.1|,0.274484189,0.671002529,-0.070479826,0.872260785,KNC20590,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435112.1|,0.251211682,0.671002529,0.047892992,0.89115463,KNC20591,2.51E-01,0.68924462,-8.30E-02,0.873948717
ref|XM_023435113.1|,-0.210680071,0.691861051,0.242216773,0.603706212,KNC20592,6.73E-02,0.95671285,-1.04E-01,0.784595377
ref|XM_023435114.1|,0.118248472,0.671002529,0.210758018,0.876779129,KNC20593,-1.57E-01,0.81909614,-6.42E-02,0.914312327
ref|XM_023435115.1|,-0.009206587,0.992660815,-0.214673409,0.773254485,KNC20594,1.30E-01,0.85990462,1.42E-01,0.655721244
ref|XM_023435116.1|,-0.246561319,0.780382495,-0.543611885,0.603706212,KNC20595,-3.16E-01,0.81072763,-8.15E-01,0.454474204
ref|XM_023435117.1|,0.118248472,0.671002529,0.311448787,0.603706212,KNC20596,1.13E-02,0.97928335,1.18E-01,0.655721244
ref|XM_023435118.1|,0.187701393,0.875607274,-0.067367415,0.936830225,KNC20597,3.32E-01,0.68924462,-1.30E-01,0.796400142
ref|XM_023435119.1|,-0.355574165,0.671002529,-0.34710496,0.603706212,KNC20598,1.54E-02,0.97434156,-2.58E-02,0.911589129
ref|XM_023435120.1|,-0.016358408,0.979597384,0.047892992,0.89115463,KNC20599,-4.08E-01,0.68924462,-2.04E-01,0.655721244
ref|XM_023435121.1|,-0.777443584,0.671002529,-0.434002827,0.388230279,KNC20600,-1.58E-01,0.68924462,-9.05E-02,0.593231474
ref|XM_023435122.1|,-0.293011487,0.671002529,-0.009764543,0.967827822,KNC20601,-3.38E-01,0.68924462,1.69E-01,0.81459035
ref|XM_023435123.1|,0.003441327,0.994783867,0.046104752,0.914241192,KNC20602,-6.92E-02,0.94954822,4.92E-02,0.939716262
ref|XM_023435124.1|,0.361428674,0.671002529,-0.06360097,0.889407124,KNC20603,1.86E-02,0.97928335,1.51E-01,0.655721244
ref|XM_023435125.1|,0.1829856,0.693213933,0.08230323,0.603706212,KNC20604,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435126.1|,0.096736908,0.671002529,-0.079581996,0.603706212,KNC20605,-4.75E-01,0.68924462,-3.88E-01,0.655721244
ref|XM_023435127.1|,0.10623209,0.843585326,0.029203027,0.944246326,KNC20606,1.72E-01,0.74479434,-3.04E-01,0.619130768
ref|XM_023435128.1|,-0.157348288,0.671002529,-0.124606774,0.603706212,KNC20607,1.18E-01,0.68924462,-8.30E-02,0.873948717
ref|XM_023435129.1|,0.23056444,0.732552998,0.22671453,0.713588947,KNC20608,2.39E-01,0.68924462,-5.23E-01,0.254670145
ref|XM_023435130.1|,-0.166997954,0.671002529,0.007932296,0.972337683,KNC20609,-1.34E-01,0.82248721,7.29E-02,0.893030032
ref|XM_023435131.1|,0.187873909,0.671002529,-0.16352239,0.603706212,KNC20610,-1.30E-02,0.97928335,2.48E-02,0.911982288
ref|XM_023435132.1|,-0.060198978,0.879754201,0.067612451,0.851481221,KNC20611,-1.27E-01,0.93475614,-1.88E-01,0.835054176
ref|XM_023435133.1|,-0.013508695,0.979597384,-0.216103137,0.603706212,KNC20612,-4.93E-01,0.68924462,-3.70E-01,0.516121082
ref|XM_023435134.1|,0.086948052,0.730303673,-0.236540882,0.562909407,KNC20613,-3.44E-01,0.68924462,3.28E-01,0.655721244
ref|XM_023435135.1|,0.068457412,0.903887716,0.073695224,0.876779129,KNC20614,-2.58E-01,0.68924462,-1.18E-01,0.678802614
ref|XM_023435136.1|,0.008487542,0.989681262,-0.128251978,0.865475489,KNC20615,3.92E-02,0.93504179,-5.36E-02,0.773008055
ref|XM_023435137.1|,0.227813835,0.671002529,-0.093800868,0.648997155,KNC20616,-1.94E-02,0.97928335,-2.24E-01,0.655721244
ref|XM_023435138.1|,-0.238994267,0.671002529,-0.137221251,0.775398566,KNC20617,-3.23E-01,0.78049259,-4.78E-01,0.655721244
ref|XM_023435139.1|,1.774067872,0.671002529,-1.108766145,0.603706212,KNC20618,-4.12E-02,0.97563897,1.81E-01,0.655721244
ref|XM_023435140.1|,0.066608942,0.824295954,-0.032635889,0.89115463,KNC20619,2.39E-02,0.97570558,3.53E-02,0.917550252
ref|XM_023435141.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20620,2.66E-01,0.68924462,-4.68E-01,0.655721244
ref|XM_023435142.1|,0.022903514,0.964691328,-0.02456209,0.888172431,KNC20621,-1.94E-02,0.96687277,4.46E-02,0.783823049
ref|XM_023435143.1|,0.177017204,0.787170848,-0.046048551,0.888177438,KNC20622,6.03E-02,0.85772428,-5.71E-02,0.753430309
ref|XM_023435144.1|,-0.788741457,0.671002529,0.382348472,0.603706212,KNC20623,-1.59E-01,0.90322922,-1.53E-01,0.889902924
ref|XM_023435145.1|,0.125924137,0.671002529,-0.196511083,0.603706212,KNC20624,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435146.1|,0.24028973,0.671002529,-0.017529222,0.899555894,KNC20625,7.79E-02,0.95792294,-2.73E-01,0.655721244
ref|XM_023435147.1|,-0.115877516,0.773675523,0.252982612,0.603706212,KNC20626,1.13E-01,0.9313758,1.00E-01,0.872090881
ref|XM_023435148.1|,0.041099168,0.770508616,-0.132905674,0.59245881,KNC20627,-9.85E-02,0.81630923,1.81E-01,0.603847837
ref|XM_023435149.1|,-0.156468403,0.671002529,0.064567922,0.80782978,KNC20628,3.50E-01,0.68924462,1.26E-01,0.655721244
ref|XM_023435150.1|,-0.307783246,0.671002529,-0.191673812,0.603706212,KNC20629,-1.96E-02,0.93927466,-1.46E-01,0.45137397
ref|XM_023435151.1|,0.097674574,0.9005615,0.371907695,0.537575815,KNC20630,1.10E-01,0.68924462,-3.23E-02,0.688996065
ref|XM_023435152.1|,0.05294837,0.823701589,-0.001079438,0.994157566,KNC20631,2.54E-03,0.99800246,-2.31E-01,0.697469824
ref|XM_023435153.1|,-0.070933339,0.892744938,0.035842633,0.90652808,KNC20632,1.14E-01,0.85273035,-4.34E-02,0.896588497
ref|XM_023435154.1|,-0.551452753,0.7456633,0.213165374,0.876104486,KNC20633,-1.07E-01,0.68924462,-5.63E-02,0.680692389
ref|XM_023435155.1|,0.228200455,0.671002529,0.023164885,0.838762619,KNC20634,1.35E-02,0.97928335,1.94E-02,0.901266865
ref|XM_023435156.1|,1.218580665,0.671002529,0.861931647,0.620991687,KNC20635,-2.00E-01,0.68924462,-1.60E-01,0.655721244
ref|XM_023435157.1|,-0.100875571,0.856896181,-0.07164607,0.761142472,KNC20636,-4.39E-01,0.68924462,-1.39E-01,0.708547225
ref|XM_023435158.1|,-0.454032497,0.671002529,0.127609444,0.919839002,KNC20637,1.18E-01,0.68924462,4.91E-02,0.892440838
ref|XM_023435159.1|,0.237501668,0.930274856,2.345475505,0.407455513,KNC20638,1.14E-01,0.9174159,3.45E-01,0.655721244
ref|XM_023435160.1|,0.887809457,0.671002529,0.88127801,0.603706212,KNC20639,5.62E-02,0.95817445,1.10E-01,0.872282122
ref|XM_023435161.1|,1.057866489,0.671002529,-0.296724644,0.867574982,KNC20640,-2.03E-02,0.98206079,1.00E+00,0.315226205
ref|XM_023435162.1|,0.252887973,0.919106627,0.592704496,0.603706212,KNC20641,-4.08E-01,0.68924462,1.72E-01,0.849091999
ref|XM_023435163.1|,0.333487735,0.671002529,0.022383518,0.939248853,KNC20642,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435164.1|,0.224082309,0.671002529,-0.08383045,0.612608374,KNC20643,-3.26E-01,0.64187514,-1.05E-01,0.655721244
ref|XM_023435165.1|,-0.005470425,0.988289823,-0.074903759,0.79861492,KNC20644,1.18E-01,0.68924462,-2.15E-01,0.681015386
ref|XM_023435166.1|,0.045687512,0.770192963,-0.010452379,0.948738264,KNC20645,5.41E-01,0.68924462,-3.41E-01,0.655721244
ref|XM_023435167.1|,0.103009503,0.704935919,0.270377492,0.485386272,KNC20646,-1.99E-01,0.68924462,-1.26E-01,0.655721244
ref|XM_023435168.1|,-0.069961565,0.901819923,0.132013282,0.624749286,KNC20647,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435169.1|,0.128470598,0.671002529,0.036883664,0.797004758,KNC20648,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435170.1|,0.109993633,0.902926331,-0.283914042,0.603706212,KNC20649,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435171.1|,-0.176130366,0.671002529,-0.015551667,0.957755622,KNC20650,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435172.1|,0.307822812,0.671002529,0.001902658,0.993283192,KNC20651,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435173.1|,-0.131263743,0.671002529,0.023490485,0.912838807,KNC20652,3.65E-01,0.68924462,3.98E-01,0.463329288
ref|XM_023435174.1|,0.167887589,0.671002529,-0.077431846,0.603706212,KNC20653,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435175.1|,-0.038971861,0.95666876,0.380698949,0.542076474,KNC20654,6.71E-01,0.63513182,2.59E-01,0.572614428
ref|XM_023435176.1|,-0.734843084,0.671002529,0.657743624,0.603706212,KNC20655,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435177.1|,-0.129420594,0.671002529,-0.190510346,0.561222256,KNC20656,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435178.1|,0.92685759,0.671002529,0.300709303,0.603706212,KNC20657,3.02E-01,0.68924462,9.56E-02,0.655721244
ref|XM_023435179.1|,0.431908559,0.880525622,-0.09222106,0.974381637,KNC20658,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435180.1|,-0.521223343,0.840597346,-1.051380562,0.603706212,KNC20659,-7.67E-01,0.68924462,3.27E-01,0.682219331
ref|XM_023435181.1|,-0.042499603,0.899252026,0.057706496,0.815961799,KNC20660,3.52E-01,0.68924462,6.19E-02,0.896798985
ref|XM_023435182.1|,1.013084392,0.671002529,0.16184086,0.9484104,KNC20661,1.18E-01,0.68924462,-2.15E-01,0.655721244
ref|XM_023435183.1|,0.871985393,0.671002529,0.451807757,0.825692398,KNC20662,-1.80E-02,0.97928335,2.42E-01,0.655721244
ref|XM_023435184.1|,0.277003598,0.671002529,-0.311108774,0.603706212,KNC20663,6.05E-04,0.99852243,-5.41E-02,0.776341882
ref|XM_023435185.1|,1.076356778,0.671002529,0.891306418,0.603706212,KNC20664,-2.27E-03,0.99178824,1.34E-02,0.948498907
ref|XM_023435186.1|,-0.421524466,0.671002529,-0.49005974,0.603706212,KNC20665,-3.44E-01,0.68924462,-4.68E-01,0.42176421
ref|XM_023435187.1|,0.042181678,0.889388286,-0.037690665,0.88953536,KNC20666,-1.72E-01,0.68924462,-2.20E-01,0.409958636
ref|XM_023435188.1|,-0.139593292,0.80536041,0.186365715,0.603706212,KNC20667,-8.23E-02,0.92448678,-4.08E-01,0.655721244
ref|XM_023435189.1|,0.158896945,0.671002529,0.1659124,0.603706212,KNC20668,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435190.1|,-0.045059414,0.910163046,0.074923281,0.809573959,KNC20669,-4.10E-01,0.68924462,1.39E-01,0.655721244
ref|XM_023435191.1|,0.340197034,0.671002529,-0.215397241,0.603706212,KNC20670,-1.34E-01,0.69976737,1.10E-01,0.726042065
ref|XM_023435192.1|,0.388274196,0.776874924,0.256793883,0.704536507,KNC20671,-3.12E-01,0.68924462,-5.10E-01,0.328961618
ref|XM_023435193.1|,0.152581918,0.671002529,-0.118852385,0.603706212,KNC20672,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435194.1|,-0.115339459,0.671002529,0.011577557,0.955859995,KNC20673,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435195.1|,-0.17959669,0.671002529,-0.262382818,0.298424603,KNC20674,-2.67E-01,0.68924462,-1.71E-01,0.655721244
ref|XM_023435196.1|,-0.007555251,0.978668405,-0.106757274,0.603706212,KNC20675,-9.78E-02,0.68924462,-9.25E-02,0.655721244
ref|XM_023435197.1|,0.226737171,0.671002529,-0.211921928,0.510226952,KNC20676,1.35E-01,0.68924462,-2.01E-03,0.982757419
ref|XM_023435198.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20677,-6.73E-02,0.68924462,-7.01E-02,0.655721244
ref|XM_023435199.1|,0.328355615,0.766302061,0.109517866,0.804142849,KNC20678,-8.62E-02,0.69641889,-7.18E-02,0.655721244
ref|XM_023435200.1|,0.831935678,0.671002529,-0.438883611,0.656825983,KNC20679,-1.44E-01,0.75545376,4.91E-02,0.892440838
ref|XM_023435201.1|,0.729757822,0.671002529,0.508849514,0.603706212,KNC20680,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435202.1|,0.079935207,0.956403182,0.018462176,0.988614395,KNC20681,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435203.1|,0.478605192,0.671002529,0.280060347,0.722194533,KNC20682,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435204.1|,0.230681378,0.671002529,0.140811103,0.603706212,KNC20683,2.53E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435205.1|,-0.052487661,0.979597384,0.157199688,0.83088682,KNC20684,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435206.1|,0.083518272,0.850204944,-0.116946347,0.603706212,KNC20685,3.00E-01,0.68924462,2.72E-01,0.377426422
ref|XM_023435207.1|,0.578581261,0.671002529,0.047794262,0.899584206,KNC20686,-2.06E-01,0.68924462,3.88E-01,0.354673093
ref|XM_023435208.1|,-0.015636252,0.979597384,-0.215708916,0.630412084,KNC20687,1.70E-02,0.98018501,3.12E-01,0.401150472
ref|XM_023435209.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20688,-1.55E-01,0.68924462,-1.08E-01,0.55211026
ref|XM_023435210.1|,0.616922631,0.671002529,0.208734652,0.739257963,KNC20689,-1.06E-01,0.68924462,3.36E-02,0.816623921
ref|XM_023435211.1|,0.892433186,0.671002529,-0.38116714,0.625592999,KNC20690,-7.64E-02,0.92187027,-2.49E-01,0.655721244
ref|XM_023435212.1|,-0.216679363,0.671002529,0.284234645,0.566028755,KNC20691,-5.22E-01,0.68924462,2.79E-01,0.734158858
ref|XM_023435213.1|,0.503646845,0.74695509,-1.921634423,0.476579357,KNC20692,7.50E-01,0.68924462,-2.84E-01,0.801875338
ref|XM_023435214.1|,0.169304018,0.692105899,-0.039816146,0.925413049,KNC20693,1.21E-01,0.77974346,-8.30E-02,0.655721244
ref|XM_023435215.1|,0.034276174,0.968259464,0.542370034,0.466527623,KNC20694,-7.28E-01,0.68924462,-8.17E-02,0.947728323
ref|XM_023435216.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20695,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435217.1|,-0.129645462,0.671002529,0.045435375,0.822397919,KNC20696,-1.03E-01,0.80637695,1.83E-01,0.588291072
ref|XM_023435218.1|,-0.731321771,0.671002529,0.185705388,0.891099676,KNC20697,1.84E-01,0.68924462,-5.82E-02,0.702590469
ref|XM_023435219.1|,-0.016021138,0.979597384,-0.083695687,0.603706212,KNC20698,-3.75E-01,0.68924462,-1.05E+00,0.415456255
ref|XM_023435220.1|,0.319204228,0.671002529,-0.349784564,0.603706212,KNC20699,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435221.1|,-0.039747959,0.910163046,0.082433821,0.708316915,KNC20700,1.90E-01,0.69701612,1.76E-01,0.655721244
ref|XM_023435222.1|,-0.153069071,0.916315681,0.078913888,0.933394846,KNC20701,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435223.1|,0.089192938,0.902061079,0.231242418,0.603706212,KNC20702,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435224.1|,-0.148418816,0.773623677,-0.083364744,0.845554089,KNC20703,2.23E-01,0.68924462,-7.75E-02,0.655721244
ref|XM_023435225.1|,-0.046458401,0.979597384,-0.433856552,0.603706212,KNC20704,2.17E-01,0.68924462,4.79E-02,0.843050842
ref|XM_023435226.1|,-0.175964661,0.671002529,0.128531389,0.603706212,KNC20705,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435227.1|,0.252598759,0.671002529,-0.347227542,0.603706212,KNC20706,-7.95E-01,0.68924462,2.71E-01,0.868185751
ref|XM_023435228.1|,-0.320016852,0.671002529,-0.079403983,0.679207856,KNC20707,-1.68E-01,0.91685669,-5.12E-01,0.655721244
ref|XM_023435229.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20708,1.16E+00,0.68924462,1.33E-01,0.894020151
ref|XM_023435230.1|,-0.132961919,0.671002529,-0.14831088,0.486369175,KNC20709,-2.82E-01,0.68924462,8.73E-01,0.283276813
ref|XM_023435231.1|,-1.24552074,0.671002529,-1.627882226,0.566028755,KNC20710,7.50E-01,0.68924462,1.07E-01,0.839489583
ref|XM_023435232.1|,-0.015046142,0.955771728,0.164090217,0.447455409,KNC20711,-7.91E-02,0.68924462,-1.31E-01,0.464205279
ref|XM_023435233.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20712,1.34E-01,0.68924462,5.63E-02,0.655721244
ref|XM_023435234.1|,-0.215618692,0.803631492,0.186332978,0.614722838,KNC20713,3.14E-01,0.68924462,4.25E-01,0.426931245
ref|XM_023435235.1|,0.362288497,0.784813172,0.106302451,0.784684024,KNC20714,2.22E-01,0.68924462,7.77E-02,0.848517149
ref|XM_023435236.1|,0.382216079,0.671002529,0.065804237,0.925829969,KNC20715,4.41E-02,0.90346335,-1.16E-01,0.655721244
ref|XM_023435237.1|,0.387300006,0.671002529,-0.148833901,0.603706212,KNC20716,-2.77E-01,0.68924462,-2.15E-01,0.655721244
ref|XM_023435238.1|,0.552942544,0.671002529,-0.988245055,0.603706212,KNC20717,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435239.1|,0.551203484,0.671002529,-0.026911461,0.894406853,KNC20718,4.38E-02,0.97928335,-1.67E-01,0.872791734
ref|XM_023435240.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20719,-5.49E-04,0.99912312,-6.58E-02,0.911982288
ref|XM_023435241.1|,-0.198889977,0.671002529,-0.114011833,0.603706212,KNC20720,7.61E-01,0.58858259,3.65E-01,0.569915885
ref|XM_023435242.1|,-0.094136591,0.671002529,0.031805885,0.849252551,KNC20721,7.71E-02,0.72884123,6.09E-02,0.70494102
ref|XM_023435243.1|,0.118248472,0.671002529,-0.083695687,0.603706212,KNC20722,-2.10E-01,0.77508101,-2.15E-01,0.655721244
ref|XM_023435244.1|,-0.604803017,0.671002529,0.196159159,0.861834005,KNC20723,-2.84E-02,0.95401794,-6.75E-02,0.787819537
ref|XM_023435245.1|,0.013110638,0.983264874,0.024403765,0.93063233,KNC20724,5.58E-01,0.68924462,-2.03E-01,0.82665057
ref|XM_023435246.1|,0.043341023,0.961572742,-0.016654706,0.966311668,KNC20725,-1.17E-01,0.91163335,2.27E-01,0.855407655
ref|XM_023435247.1|,0.046786124,0.91852071,0.149229231,0.603706212,KNC20726,2.86E-01,0.68924462,-1.19E-01,0.655721244
ref|XM_023435248.1|,0.123241857,0.859138657,-0.105642508,0.910462781,KNC20727,-1.71E-01,0.68924462,-1.80E-01,0.655721244
ref|XM_023435249.1|,0.186453595,0.671002529,-0.094103691,0.616983944,KNC20728,7.77E-01,0.68924462,5.78E-03,0.9890734
ref|XM_023435250.1|,0.066969706,0.783257056,-0.111852413,0.603706212,KNC20729,5.12E-02,0.96035935,-2.15E-01,0.655721244
ref|XM_023435251.1|,-0.287646868,0.671002529,0.21938398,0.603706212,KNC20730,-2.84E-02,0.96516168,-1.74E-01,0.478139906
ref|XM_023435252.1|,0.125722459,0.946120726,-0.026645415,0.977343245,KNC20731,4.09E-02,0.95288318,7.35E-02,0.672108376
ref|XM_023435253.1|,0.010253064,0.970563057,-0.111468142,0.603706212,KNC20732,6.88E-02,0.84426709,5.06E-02,0.835149285
ref|XM_023435254.1|,-0.312961106,0.671002529,0.080913611,0.913996593,KNC20733,5.56E-01,0.68924462,5.06E-01,0.655721244
ref|XM_023435255.1|,1.186742658,0.368792941,0.137352165,0.876301642,KNC20734,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435256.1|,0.216153496,0.671002529,-0.587191693,0.008770591,KNC20735,-7.33E-02,0.73804618,-4.96E-02,0.762904057
ref|XM_023435257.1|,0.462683935,0.671002529,-0.408007124,0.603706212,KNC20736,-1.35E-01,0.68924462,2.90E-02,0.894020151
ref|XM_023435258.1|,0.400567446,0.671002529,-0.580091874,0.412248681,KNC20737,2.96E-01,0.68924462,1.68E-01,0.55211026
ref|XM_023435259.1|,-0.441266872,0.671002529,-0.295414136,0.709587261,KNC20738,-2.19E-01,0.84017767,4.78E-01,0.587255577
ref|XM_023435260.1|,0.164803715,0.759063141,-0.425725924,0.486369175,KNC20739,1.18E-01,0.68924462,4.92E-02,0.899479909
ref|XM_023435261.1|,0.947414272,0.671002529,0.131233194,0.94691713,KNC20740,7.23E-02,0.83580646,6.46E-02,0.756513098
ref|XM_023435262.1|,-0.067316856,0.955316261,-0.128560079,0.732626898,KNC20741,2.87E-01,0.7983374,-1.87E-01,0.685009586
ref|XM_023435263.1|,-0.009651054,0.985453952,-0.113089959,0.78861133,KNC20742,5.96E-02,0.90057015,-2.20E-02,0.924952536
ref|XM_023435264.1|,-0.215685061,0.671002529,-0.134658743,0.476579357,KNC20743,-6.97E-02,0.90333709,3.57E-02,0.907200958
ref|XM_023435265.1|,-0.210091174,0.671002529,0.033620717,0.892613598,KNC20744,3.16E-01,0.68924462,1.75E-01,0.655721244
ref|XM_023435266.1|,0.118248472,0.671002529,-0.21534845,0.603706212,KNC20745,1.18E-01,0.68924462,-8.30E-02,0.655721244
ref|XM_023435267.1|,-0.024759434,0.97263966,0.543883444,0.393691031,KNC20746,-1.91E-01,0.68924462,-5.20E-02,0.752299576
ref|XM_023435268.1|,0.182903153,0.671002529,0.269706754,0.577819137,KNC20747,2.03E-01,0.68924462,2.70E-02,0.804135959
ref|XM_023435269.1|,0.57287591,0.671002529,-0.022817469,0.973489419,KNC20748,4.29E-02,0.7983374,5.55E-02,0.665741788
ref|XM_023435270.1|,0.188249018,0.827848173,0.783421464,0.603706212,KNC20749,3.95E-02,0.97738135,3.93E-01,0.453904719
ref|XM_023435271.1|,0.381134483,0.671002529,-0.407903826,0.603706212,KNC20750,-2.67E-01,0.85098324,1.24E-01,0.923451758
