Geneid_i5k (limma),A1_logFC_i5k (limma),A1_pvalue_i5k (limma),A4_logFC_i5k (limma),A4_pvalue_i5k (limma),Geneid_Melbourne (limma),A1_logFC_Melbourne (limma),A1_pvalue_Melbourne (limma),A4_logFC_Melbourne (limma),A4_pvalue_Melbourne (limma)
ref|XM_023435079.1|,0.463065997,0.79032742,0.669296061,0.816824042,KNC20558,-2.45E-01,0.68924462,-8.21E-02,0.780147612
ref|XM_023435080.1|,-0.004327898,0.997283902,-0.754817621,0.566028755,KNC20559,-3.36E-01,0.68924462,-7.38E-02,0.740762105
ref|XM_023435081.1|,0.166852512,0.784919704,0.23443662,0.603706212,KNC20560,-1.32E-01,0.68924462,-5.48E-04,0.997342636
ref|XM_023435082.1|,-1.444782351,0.671002529,0.247618475,0.927373519,KNC20561,9.72E-03,0.97928335,4.88E-02,0.711906779
ref|XM_023435083.1|,-0.300075888,0.69265475,0.477796477,0.514620995,KNC20562,4.36E-01,0.68924462,-1.65E-01,0.655721244
ref|XM_023435084.1|,-0.414633107,0.737596015,-0.083695687,0.603706212,KNC20563,4.24E-01,0.68924462,1.52E-01,0.879299249
ref|XM_023435085.1|,0.498749813,0.787135585,0.362210076,0.822359854,KNC20564,3.03E-02,0.95401794,5.56E-02,0.749966702
ref|XM_023435086.1|,1.32694468,0.354683832,0.190819684,0.683146024,KNC20565,7.79E-02,0.96580368,1.65E-02,0.968121363
ref|XM_023435087.1|,0.320901807,0.671002529,0.205261494,0.603706212,KNC20566,2.06E-02,0.93702272,-1.01E-01,0.655721244
ref|XM_023435088.1|,0.276952202,0.671002529,-0.15983059,0.603706212,KNC20567,9.71E-02,0.68924462,-4.29E-02,0.760038431
ref|XM_023435089.1|,0.190627102,0.850855195,0.097191929,0.888610889,KNC20568,3.41E-02,0.89573943,2.17E-02,0.908597264
ref|XM_023435090.1|,-0.653686854,0.671002529,-0.40776273,0.603706212,KNC20569,1.85E-01,0.68924462,4.32E-02,0.683891693
ref|XM_023435091.1|,0.220778624,0.67594554,0.078123989,0.919731354,KNC20570,1.56E-01,0.68924462,5.62E-02,0.680302692
ref|XM_023435092.1|,0.187059483,0.844130469,-0.201661657,0.694774303,KNC20571,-1.98E-02,0.96516168,-3.12E-02,0.802749269
ref|XM_023435093.1|,0.293469629,0.671002529,0.200485986,0.603706212,KNC20572,-1.26E-01,0.69116349,1.26E-01,0.720786996
ref|XM_023435094.1|,0.041109132,0.979597384,0.139583411,0.603706212,KNC20573,-1.80E-02,0.97928335,-2.15E-01,0.655721244
ref|XM_023435095.1|,-0.005476226,0.979597384,0.039038653,0.779067078,KNC20574,3.33E-01,0.68924462,-1.79E-02,0.949896928
ref|XM_023435096.1|,0.961397688,0.671002529,-0.5075368,0.695631744,KNC20575,2.17E-01,0.7983374,-7.38E-01,0.655721244
ref|XM_023435097.1|,-0.098111276,0.73917953,-0.075525162,0.736361601,KNC20576,-4.14E-01,0.68924462,4.91E-02,0.932406319
ref|XM_023435098.1|,0.292635191,0.908517532,-0.59965712,0.667154594,KNC20577,1.18E-01,0.68924462,-2.15E-01,0.655721244
ref|XM_023435099.1|,0.381192686,0.721085312,-0.327347235,0.790133367,KNC20578,9.02E-01,0.68924462,3.52E-03,0.994660481
ref|XM_023435100.1|,0.244956255,0.671002529,-0.072897983,0.835528168,KNC20579,1.45E-02,0.97928335,-7.65E-02,0.655721244
ref|XM_023435101.1|,0.092859448,0.835686211,0.135363508,0.603706212,KNC20580,-7.35E-02,0.76700502,-2.72E-02,0.868507653
ref|XM_023435102.1|,0.460798231,0.671002529,-0.474688699,0.49952598,KNC20581,-1.23E-01,0.92283391,-5.93E-01,0.655721244
ref|XM_023435103.1|,0.09195381,0.891577881,0.089681941,0.829791465,KNC20582,-5.43E-02,0.89975523,-1.05E-01,0.656095054
ref|XM_023435104.1|,1.27476267,0.671002529,1.151568581,0.49910303,KNC20583,1.72E-01,0.68924462,4.49E-02,0.823025588
ref|XM_023435105.1|,0.011718713,0.98248832,-0.313978322,0.445382385,KNC20584,-6.26E-01,0.68924462,-1.98E-01,0.85800146
ref|XM_023435106.1|,0.517052518,0.671002529,0.829055894,0.319545432,KNC20585,-2.43E-01,0.68924462,1.02E-01,0.830599902
ref|XM_023435107.1|,-0.147939992,0.671002529,0.193506842,0.603706212,KNC20586,9.74E-02,0.68924462,7.37E-02,0.655721244
