Geneid_i5k (limma),Treatment_logFC_i5k_Pseudomonas (limma),Treatment_pvalue_i5k_Pseudomonas (limma),Interaction_logFC_i5k_Pseudomonas (limma),Interaction_pvalue_i5k_Pseudomonas (limma),Geneid_Melbourne (limma),Treatment_logFC_Melbourne_Pseudomonas (limma),Treatment_pvalue_Melbourne_Pseudomonas (limma),Interaction_logFC_Melbourne_Pseudomonas (limma),Interaction_pvalue_Melbourne_Pseudomonas (limma)
ref|XM_023435079.1|,1.014644131,0.835533183,0.082989172,0.98635742,KNC20558,2.45E-02,0.958045323,-1.93E-01,0.69330724
ref|XM_023435080.1|,-0.706639501,0.835533183,-0.784735529,0.741284157,KNC20559,-1.14E-01,0.860668127,-1.78E-02,0.98323367
ref|XM_023435081.1|,0.270984561,0.835533183,0.047493503,0.969065345,KNC20560,-1.61E-01,0.860668127,2.05E-01,0.40081068
ref|XM_023435082.1|,-0.588537352,0.835533183,-0.662903615,0.88938209,KNC20561,1.53E-01,0.860668127,-7.33E-02,0.83557914
ref|XM_023435083.1|,0.076578921,0.921632289,0.697401101,0.353791004,KNC20562,-2.70E-02,0.968821526,-3.26E-01,0.53805268
ref|XM_023435084.1|,-0.315863746,0.835533183,0.981050326,0.337312404,KNC20563,4.52E-01,0.860668127,1.64E-01,0.94025991
ref|XM_023435085.1|,0.416150303,0.835533183,0.534890738,0.875452352,KNC20564,-3.25E-02,0.931544061,-7.16E-02,0.90741756
ref|XM_023435086.1|,0.453991026,0.835533183,-0.40482665,0.646159204,KNC20565,-2.02E-01,0.860668127,2.91E-01,0.85640953
ref|XM_023435087.1|,-0.027404645,0.972193766,0.154461704,0.892662817,KNC20566,2.05E-02,0.931014417,-3.74E-02,0.9251636
ref|XM_023435088.1|,-0.028742609,0.945210057,-0.149867787,0.810486274,KNC20567,7.88E-02,0.860668127,-1.44E-01,0.59699013
ref|XM_023435089.1|,-0.113167132,0.921642949,0.604831892,0.698493241,KNC20568,9.33E-03,0.977916722,-1.59E-01,0.67354768
ref|XM_023435090.1|,-0.426810651,0.835533183,0.011636572,0.992230046,KNC20569,1.80E-02,0.972398351,-1.35E-01,0.79162939
ref|XM_023435091.1|,0.000263345,0.999750549,0.128320477,0.928313982,KNC20570,8.86E-02,0.860668127,1.59E-02,0.97012688
ref|XM_023435092.1|,-0.153169312,0.871763202,-0.028940912,0.9889331,KNC20571,5.41E-02,0.860668127,-2.23E-01,0.33142661
ref|XM_023435093.1|,0.037729175,0.938427178,-0.038599518,0.968360782,KNC20572,-3.88E-02,0.943956655,-1.65E-01,0.82632734
ref|XM_023435094.1|,-0.349483396,0.835533183,0.248503633,0.90436954,KNC20573,-1.23E-01,0.860668127,2.82E-01,0.67189805
ref|XM_023435095.1|,-0.026067283,0.88350371,0.156559376,0.424910496,KNC20574,-6.32E-02,0.925228158,-2.71E-02,0.9854017
ref|XM_023435096.1|,0.517681434,0.835533183,-0.432424106,0.903660583,KNC20575,1.51E-01,0.895677436,2.92E-01,0.88475363
ref|XM_023435097.1|,0.132249577,0.835533183,0.0291596,0.965002659,KNC20576,-3.31E-01,0.860668127,1.52E+00,0.05507085
ref|XM_023435098.1|,0.4174817,0.835533183,0.49904843,0.908753457,KNC20577,-5.30E-02,0.919029252,4.06E-01,0.34628525
ref|XM_023435099.1|,-0.02088784,0.984081845,0.424570782,0.815927328,KNC20578,1.50E-02,0.989133221,-2.50E-01,0.89655368
ref|XM_023435100.1|,-0.059931946,0.88350371,-0.256861905,0.651627841,KNC20579,1.08E-01,0.860668127,-1.50E-01,0.82297684
ref|XM_023435101.1|,0.130095147,0.835533183,0.174497309,0.825806675,KNC20580,9.68E-02,0.860668127,-2.89E-02,0.96233171
ref|XM_023435102.1|,-0.12429636,0.902049179,-0.622450578,0.635989072,KNC20581,-3.64E-01,0.860668127,4.55E-02,0.98777481
ref|XM_023435103.1|,0.145912113,0.835533183,0.177930325,0.851169105,KNC20582,1.14E-01,0.860668127,1.25E-01,0.84223503
ref|XM_023435104.1|,0.679640372,0.835533183,-1.97472734,0.344328571,KNC20583,2.07E-01,0.860668127,-3.33E-01,0.33419263
ref|XM_023435105.1|,0.005283512,0.987228356,-0.133922432,0.825806675,KNC20584,-4.94E-01,0.860668127,1.38E-01,0.95833605
ref|XM_023435106.1|,0.070009684,0.949397897,0.27307764,0.882258192,KNC20585,5.24E-02,0.925258695,-1.28E-01,0.88660828
ref|XM_023435107.1|,-0.015268746,0.972193766,-0.315338028,0.359658696,KNC20586,3.28E-02,0.895677436,-1.04E-01,0.7726636
ref|XM_023435108.1|,0.00279724,0.985628355,-0.144875846,0.375388513,KNC20587,-2.32E-02,0.975673881,-2.01E-01,0.84572348
ref|XM_023435109.1|,-0.100214123,0.908482502,-0.204360242,0.90436954,KNC20588,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435110.1|,0.003705923,0.997316951,0.637192122,0.658056281,KNC20589,5.03E-02,0.948638477,2.46E-01,0.80951587
ref|XM_023435111.1|,0.197204209,0.835533183,-0.200418474,0.796977922,KNC20590,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435112.1|,-0.05094834,0.835533183,0.432772709,0.028962024,KNC20591,-1.20E-01,0.860668127,2.73E-01,0.51430328
ref|XM_023435113.1|,-0.11847986,0.835533183,0.572398863,0.289284504,KNC20592,-9.49E-02,0.860668127,2.68E-01,0.73935164
ref|XM_023435114.1|,0.598279792,0.835533183,-0.169286034,0.956365432,KNC20593,-5.14E-02,0.946938046,9.99E-02,0.94146829
ref|XM_023435115.1|,-0.464312275,0.835533183,0.344472587,0.761670509,KNC20594,-8.60E-02,0.894681529,2.08E-01,0.84509023
ref|XM_023435116.1|,0.012550056,0.988654502,0.592983712,0.645901326,KNC20595,1.79E-01,0.888395764,-4.91E-01,0.80309919
ref|XM_023435117.1|,-0.05094834,0.835533183,0.432772709,0.028962024,KNC20596,9.35E-02,0.860668127,1.56E-01,0.7726636
ref|XM_023435118.1|,-0.398634915,0.835533183,-0.749039897,0.614110163,KNC20597,-2.24E-01,0.860668127,3.95E-01,0.8065646
ref|XM_023435119.1|,-0.055356623,0.941557585,0.579674675,0.43536796,KNC20598,3.80E-02,0.919598447,-7.89E-02,0.89752043
ref|XM_023435120.1|,-0.118031326,0.835533183,0.569806499,0.036545062,KNC20599,-1.37E-01,0.860668127,-3.09E-01,0.77643679
ref|XM_023435121.1|,-0.476949572,0.835533183,0.347749902,0.745686748,KNC20600,-3.33E-02,0.860668127,1.13E-01,0.63403477
ref|XM_023435122.1|,-0.113881573,0.835533183,-0.116024449,0.8584634,KNC20601,-1.33E-01,0.860668127,-5.06E-02,0.97746662
ref|XM_023435123.1|,-0.036709127,0.961947581,-0.148385016,0.905862155,KNC20602,-2.30E-02,0.980829103,7.37E-01,0.33562769
ref|XM_023435124.1|,0.235625346,0.835533183,-0.444727637,0.37894931,KNC20603,1.13E-01,0.860668127,-1.32E-01,0.81712977
ref|XM_023435125.1|,-0.012110965,0.979626446,0.207537611,0.747653631,KNC20604,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435126.1|,0.074319099,0.835533183,0.008962769,0.985833312,KNC20605,-4.37E-01,0.860668127,2.95E-01,0.90267671
ref|XM_023435127.1|,0.128004222,0.835533183,0.277729234,0.658203127,KNC20606,-1.04E-01,0.860668127,-1.61E-01,0.87276168
ref|XM_023435128.1|,-0.007436813,0.977741049,0.081979793,0.828664424,KNC20607,7.61E-02,0.884962301,-1.21E-01,0.90029904
ref|XM_023435129.1|,0.385254251,0.835533183,-0.16444633,0.922153716,KNC20608,-1.72E-02,0.975673881,-2.30E-01,0.63107582
ref|XM_023435130.1|,0.074505394,0.835533183,-0.040617257,0.933703805,KNC20609,7.06E-02,0.899972152,-2.69E-02,0.983242
ref|XM_023435131.1|,0.215508729,0.835533183,-0.297030797,0.538333076,KNC20610,-8.34E-02,0.860668127,-9.53E-02,0.8539841
ref|XM_023435132.1|,-0.009248703,0.981356464,-0.259882676,0.578356681,KNC20611,-6.09E-01,0.860668127,1.58E-01,0.951822
ref|XM_023435133.1|,-0.117239393,0.835533183,0.562905634,0.094312305,KNC20612,-4.33E-01,0.860668127,1.18E-01,0.92606549
ref|XM_023435134.1|,-0.128650515,0.835533183,0.09961101,0.858274385,KNC20613,2.81E-01,0.860668127,6.00E-02,0.96463447
ref|XM_023435135.1|,-0.041378817,0.952552939,-0.610279744,0.297490336,KNC20614,-1.27E-01,0.860668127,8.60E-02,0.89752043
ref|XM_023435136.1|,-0.291100469,0.835533183,-0.259655081,0.865105954,KNC20615,1.77E-01,0.860668127,-8.55E-02,0.91926983
ref|XM_023435137.1|,-0.103293601,0.835533183,-0.390517453,0.190237635,KNC20616,-2.14E-02,0.975673881,6.78E-02,0.95041868
ref|XM_023435138.1|,-0.188818492,0.835533183,0.137842293,0.918807075,KNC20617,-6.95E-01,0.860668127,3.99E-02,0.98918617
ref|XM_023435139.1|,0.249077027,0.934533323,-1.48105891,0.716932284,KNC20618,-2.16E-01,0.860668127,4.89E-01,0.45392536
ref|XM_023435140.1|,0.061528629,0.835533183,-0.112012986,0.831192814,KNC20619,-3.18E-02,0.96325498,1.12E-01,0.90442473
ref|XM_023435141.1|,-0.05094834,0.835533183,0.432772709,0.028962024,KNC20620,-9.02E-02,0.934768319,-7.65E-02,0.96921674
ref|XM_023435142.1|,-0.138300442,0.835533183,-0.02724283,0.973777544,KNC20621,7.46E-02,0.860668127,-1.52E-01,0.71200874
ref|XM_023435143.1|,-0.1589598,0.835533183,0.088335637,0.94011138,KNC20622,1.79E-01,0.860668127,5.05E-02,0.94539307
ref|XM_023435144.1|,-0.075729664,0.945195137,1.538760824,0.03126051,KNC20623,-2.98E-01,0.860668127,8.12E-01,0.49834859
ref|XM_023435145.1|,-0.177130738,0.835533183,-0.071094303,0.920429118,KNC20624,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435146.1|,-0.029660207,0.930593666,-0.023157587,0.972496429,KNC20625,-2.27E-01,0.860668127,-6.41E-01,0.45277584
ref|XM_023435147.1|,-0.005375518,0.98996037,0.244232214,0.713074436,KNC20626,8.47E-02,0.936506839,4.59E-01,0.72003871
ref|XM_023435148.1|,-0.014962464,0.934928729,-0.062213227,0.829106059,KNC20627,-1.60E-01,0.860668127,2.42E-01,0.75246358
ref|XM_023435149.1|,-0.028896392,0.942698657,0.20837208,0.680265727,KNC20628,7.75E-02,0.871679407,8.20E-02,0.93578952
ref|XM_023435150.1|,-0.077330038,0.835533183,0.034945452,0.9531058,KNC20629,-3.79E-02,0.860668127,1.01E-02,0.9825571
ref|XM_023435151.1|,0.065504484,0.916837252,0.355665152,0.669810457,KNC20630,2.12E-02,0.922308295,-2.04E-01,0.20089085
ref|XM_023435152.1|,0.147989314,0.835533183,-0.191508335,0.459404916,KNC20631,-3.47E-01,0.860668127,-9.05E-01,0.2357056
ref|XM_023435153.1|,-0.052253267,0.907350268,0.138433125,0.861141181,KNC20632,3.59E-03,0.994011236,-1.54E-01,0.84530555
ref|XM_023435154.1|,-0.390789778,0.835533183,2.098902025,0.099335432,KNC20633,1.00E-01,0.860668127,1.44E-01,0.77876715
ref|XM_023435155.1|,0.005500737,0.983297228,-0.282892979,0.211965777,KNC20634,9.70E-02,0.860668127,-5.89E-02,0.92303456
ref|XM_023435156.1|,0.2350819,0.907517007,1.361302717,0.58597529,KNC20635,-7.16E-02,0.860668127,2.53E-01,0.47665339
ref|XM_023435157.1|,-0.128982599,0.835533183,0.099276937,0.920221695,KNC20636,-3.03E-01,0.860668127,7.33E-03,0.9952512
ref|XM_023435158.1|,0.002261494,0.998365512,0.553285652,0.796407302,KNC20637,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435159.1|,0.386480351,0.873010073,1.789509987,0.566461774,KNC20638,2.12E-02,0.982048517,9.39E-01,0.14372959
ref|XM_023435160.1|,0.548624427,0.835533183,0.143265354,0.970679984,KNC20639,1.39E-01,0.860668127,1.15E-02,0.99563675
ref|XM_023435161.1|,0.126164214,0.969020049,-2.75002331,0.270120746,KNC20640,1.43E-01,0.884262748,3.39E-01,0.83632925
ref|XM_023435162.1|,-0.409188312,0.835533183,0.152639971,0.975299211,KNC20641,-2.45E-01,0.860668127,2.71E-01,0.84255634
ref|XM_023435163.1|,0.175198246,0.835533183,-0.13252798,0.875347086,KNC20642,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435164.1|,-0.079487829,0.837211325,0.096793746,0.91354341,KNC20643,-2.52E-01,0.860668127,3.42E-02,0.96403222
ref|XM_023435165.1|,0.079426916,0.835533183,-0.324054307,0.28048049,KNC20644,-1.82E-01,0.860668127,1.49E-01,0.82689091
ref|XM_023435166.1|,-0.084407066,0.835533183,-0.061696684,0.833943704,KNC20645,-1.87E-02,0.986235685,4.54E-01,0.78363705
ref|XM_023435167.1|,0.041746238,0.885524903,-0.309841454,0.266226508,KNC20646,-1.20E-01,0.860668127,8.21E-02,0.92980084
ref|XM_023435168.1|,-0.043780232,0.940145459,0.037783999,0.973377611,KNC20647,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435169.1|,0.057912178,0.835533183,-0.200094278,0.53044519,KNC20648,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435170.1|,-0.28440343,0.835533183,-0.047793138,0.979592313,KNC20649,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435171.1|,-0.131512043,0.835533183,0.216362,0.615047861,KNC20650,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435172.1|,0.180945547,0.835533183,-0.421320201,0.323545872,KNC20651,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435173.1|,0.147635605,0.835533183,0.011100974,0.988421201,KNC20652,-1.72E-03,0.997620588,4.13E-01,0.6910067
ref|XM_023435174.1|,-0.030489977,0.842436576,-0.053300595,0.865027387,KNC20653,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435175.1|,-0.134156337,0.835533183,0.398860707,0.600157313,KNC20654,1.90E-01,0.860668127,1.18E-01,0.90235021
ref|XM_023435176.1|,-0.241043611,0.835533183,0.457436555,0.816866523,KNC20655,1.81E-02,0.975673881,2.71E-01,0.5737852
ref|XM_023435177.1|,-0.049680218,0.872846395,-0.110968064,0.84521084,KNC20656,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435178.1|,-0.394953442,0.835533183,0.338100601,0.93795761,KNC20657,-1.16E-01,0.860668127,2.96E-01,0.77156095
ref|XM_023435179.1|,-0.593887023,0.835533183,0.859897966,0.876051807,KNC20658,-5.11E-02,0.860668127,4.09E-01,0.05507085
ref|XM_023435180.1|,-0.139655844,0.965922416,1.827704798,0.571767394,KNC20659,-2.15E-01,0.860668127,2.87E-01,0.89563276
ref|XM_023435181.1|,-0.092589783,0.835533183,0.018157069,0.977823572,KNC20660,-5.06E-02,0.964405133,-8.20E-01,0.24140704
ref|XM_023435182.1|,0.751504119,0.835533183,0.541009188,0.91136541,KNC20661,-1.18E-01,0.860668127,2.77E-01,0.49866652
ref|XM_023435183.1|,0.284197333,0.892333157,0.315636624,0.945786007,KNC20662,1.78E-01,0.860668127,4.85E-01,0.47950023
