Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,A_4_logFC,A_4_pvalue,A_1_logFC,A_1_pvalue
16058,XM_037965353.1,-0.134485652,0.998595756,0.892156859,0.705726368,0.260133292,0.775372848,-0.585091419,0.798926068
16059,XM_037965354.1,-0.180799814,0.998595756,1.513578045,0.705726368,0.511841917,0.705704219,-1.02557406,0.798926068
16060,XM_037965355.1,0.199939752,0.983190144,-0.362623954,0.915220689,0.042183029,0.940254631,0.457609898,0.823602589
16061,XM_037965356.1,-0.093858901,0.892734393,0.11723475,0.841312732,-0.039217127,0.851238821,-0.159329826,0.798926068
16062,XM_037965357.1,-0.002265456,0.999217259,-2.494103136,0.705726368,-1.266216325,0.705704219,1.204330047,0.798926068
16063,XM_037965358.1,-0.106160345,0.998595756,-0.468992903,0.85835326,-0.349656635,0.720608613,0.100374464,0.961205722
16064,XM_037965359.1,0.107314191,0.832434449,0.030236052,0.965749477,0.121125039,0.674287192,0.094865187,0.798926068
16065,XM_037965360.1,0.006269847,0.998595756,0.642755059,0.926016773,0.373853214,0.895298961,-0.293406533,0.93233186
16066,XM_037965361.1,0.061541008,0.998595756,-0.165402966,0.936982947,-0.013951543,0.983935142,0.159324803,0.876272926
16067,XM_037965362.1,-0.119576185,0.998595756,0.380111712,0.881764755,0.068352133,0.954772986,-0.289168601,0.808095175
16068,XM_037965363.1,0.701767148,0.919820866,0.848252395,0.892086011,0.986903769,0.705704219,0.126229215,0.976167046
16069,XM_037965364.1,0.473585105,0.97884941,3.12155382,0.705726368,1.942597761,0.550782799,-1.201893002,0.798926068
16070,XM_037965365.1,-0.418136636,0.97635034,-0.782230797,0.867403611,-0.795845181,0.705704219,-0.015669225,0.996197253
16071,XM_037965366.1,0.176775821,0.961991768,-0.397503144,0.775765547,-0.008005093,0.987836459,0.39069039,0.798926068
16072,XM_037965367.1,-0.33166863,0.98967769,-0.89332531,0.869446526,-0.836906187,0.770524559,0.06781146,0.980710666
16073,XM_037965368.1,0.842863311,0.88010975,1.01460835,0.831105745,1.389472178,0.699991861,0.359524446,0.906223049
16074,XM_037965369.1,-0.894899567,0.849376003,-2.311416359,0.705726368,-2.121485386,0.475189022,0.203651567,0.94793466
16075,XM_037965370.1,0.028190236,0.979076557,-0.102464941,0.737531215,-0.021817899,0.924902494,0.083178517,0.798926068
